added at,release date,name,album,artist(s),id
2019-02-26T23:47:48+00:00,2009-09-10,Uprising,The Resistance,Muse,spotify:track:4VqPOruhp5EdPBeR92t6lQ
2019-02-26T00:11:26+00:00,2018-11-09,Thought Contagion,Simulation Theory (Super Deluxe),Muse,spotify:track:57lCa95tmjJ8EYdNTex8Kk
2019-02-25T23:21:14+00:00,2018-11-09,Dig Down,Simulation Theory (Super Deluxe),Muse,spotify:track:0RILico3Gbl5jxSNg3zLrJ
2019-02-25T19:42:36+00:00,2016-02-08,Let's Go,Let's Go,The Highfields,spotify:track:45Kjnx7XdqcpXVb4OGFyLz
2019-02-25T15:37:55+00:00,2014-07-29,Mad Cali Transit,Transit,Decorator,spotify:track:48TgHQ5tyu2tvrzeudIaBl
2019-02-25T15:31:23+00:00,2015-01-13,Greek Tragedy,Glitterbug,The Wombats,spotify:track:1tTV7mRV9uB2Nr9VcwkuFX
2019-02-25T15:27:56+00:00,2016-04-12,Sour Grapes,Sour Grapes,John the Ghost,spotify:track:6VmNYET7oq1HtvqstsLrcJ
2019-02-25T15:24:57+00:00,2015-07-17,Hollow Tune,Dropped,Brick + Mortar,spotify:track:0jgxLORpTXdq6kGrr7aBAk
2019-02-22T23:26:23+00:00,2018-09-04,Boyfriend,Piano Songs,Tyler Cassidy,spotify:track:6TJBU8omwRS6neLLFCsYTX
2019-02-19T18:08:57+00:00,2014-06-10,Scott & Zelda,Haunts,Tiny Victories,spotify:track:4L5TrwEPIj0ynRVUtGzHLE
2019-02-19T18:08:56+00:00,2013-06-11,Lion Cub,Lion Cub,Ten Sleep,spotify:track:2th5KCgRW8YNtPFLQ5Bvhx
2019-02-19T18:02:02+00:00,2016-05-20,Nightlife,Truce,Old Daisy,spotify:track:618RkOHKWNX9AL9pYStLoB
2019-02-19T17:56:23+00:00,2015-05-15,A Million Ways,The Sunshine of Your Youth,Cheerleader,spotify:track:4eAhuIISaEQjnUNOL1dov8
2019-02-19T17:56:22+00:00,2015-07-23,Breathe,Breathe,The Parades,spotify:track:0w0Y8FyabMgDBZxnBCADJQ
2019-02-19T17:47:15+00:00,2016-05-06,Supermassive Automatic,Supermassive Automatic,Kick the Robot,spotify:track:4MCyGRJqGyFwevVJ3rctN6
2019-02-19T17:43:18+00:00,2015-04-06,Ares,Ares,Winters Island,spotify:track:2HjHU2MEbC3SmGKhsrsy3M
2019-02-19T17:39:17+00:00,2015-08-28,Wolf,What a Drag,Beach Weather,spotify:track:4plUyJmmss4f33YoumBcOC
2019-02-19T17:35:38+00:00,2018-02-02,heart,come out. you're hiding (deluxe),flor,spotify:track:6l9AVZVrvHw5u4nL3HL9N0
2019-02-18T20:18:10+00:00,2016-04-15,West Coast,Future Nature,Step Rockets,spotify:track:04H7P0HCo721aMvP1gsxbb
2019-02-18T20:18:03+00:00,2016-08-19,Overdose,Overdose,Royal Tongues,spotify:track:2reabcuJI77J5lg7JJovtp
2019-02-18T20:11:30+00:00,2015-10-02,Beautiful Things,EP 1,Rabid Young,spotify:track:05TEsMHH6PpFBgmJGMvetx
2019-02-18T17:12:31+00:00,2014-10-14,Young Blood,Young Blood,Sun Culture,spotify:track:26FGYQ1B3ED88sx7w0kAGx
2019-02-18T16:56:34+00:00,2015-05-22,Airliner,Airliner,Cheers Elephant,spotify:track:0Jy5pHquEORpow96BnA2Q5
2019-02-18T16:49:11+00:00,2016-02-12,Don't Stand a Chance,Jayus,The Gromble,spotify:track:0h7RlPXcnonquPIxKffGUN
2019-02-18T16:43:32+00:00,2015-07-10,"When, When",Story Of An Immigrant,Civil Twilight,spotify:track:3kZxOWdThxyMFM6MP66k7Y
2019-02-18T16:43:06+00:00,2014-06-05,Forever,Forever,Ykiki Beat,spotify:track:5l3H3EngrTaXdXwRaZPAts
